id,name,short_description,main_image,description,price,stock,created_at,shop_id,shop_slug,shop_name,shop_description,shop_background_image,shop_address,shop_contact,shop_rating,shop_timezone,shop_created_at,images,rating
10,Nike Pegasus Trail 3,Wet weather can't stop your daily running habit when you lace up your workhorse with wings.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/609263c1-2c57-4646-991e-3dc0195f2b1e/pegasus-trail-3-trail-running-shoes-kXQ1np.png","New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",654,21,2021-04-22T06:41:50.741Z,4,sport vision,sport vision,Consequatur a cum. Nostrum impedit ut sed cumque quidem.,https://www.supernova-gardenmall.hr//fileadmin/shared/logos/Sport_Vision.png,225 Elvie Grove,1-851-449-4731 x041,2,America/Regina,2021-01-27T09:09:47.966Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/609263c1-2c57-4646-991e-3dc0195f2b1e/pegasus-trail-3-trail-running-shoes-kXQ1np.png,https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/49b4ad1f-d26f-4c1a-aba4-4d3567772814/pegasus-trail-3-trail-running-shoes-kXQ1np.png",9
12,Nike Air VaporMax 2021 FK,Get after those long runs with the Nike ZoomX Invincible Run Flyknit.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/ba694169-fd24-4473-b60d-1b1255653925/air-vapormax-2021-fk-shoes-Ttd2vN.png",New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,644,12,2021-10-09T21:24:16.472Z,4,sport vision,sport vision,Consequatur a cum. Nostrum impedit ut sed cumque quidem.,https://www.supernova-gardenmall.hr//fileadmin/shared/logos/Sport_Vision.png,225 Elvie Grove,1-851-449-4731 x041,2,America/Regina,2021-01-27T09:09:47.966Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/ba694169-fd24-4473-b60d-1b1255653925/air-vapormax-2021-fk-shoes-Ttd2vN.png,https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/1b55de3d-1683-40db-b32e-77ca5d72db4c/air-vapormax-2021-fk-shoes-Ttd2vN.png",10
9,Nike Metcon 7,We brought it back and it's better than ever. The Nike Ace Summerlite.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/a4042d5e-4ee8-4df7-8cc8-d81d2518717d/metcon-7-training-shoes-VZcBz4.png","Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",554,16,2021-10-16T23:07:11.029Z,3,shooster,shooster,Et harum nesciunt ea fuga dignissimos soluta. Iusto ipsam possimus nemo officiis voluptate.,https://www.supernova-zadar.hr//fileadmin/_processed_/e/5/csm_SHOOSTER_96775b6a56.jpg,4949 Domenic Club,1-872-204-9601 x12122,2,Europe/Vilnius,2021-09-02T10:34:05.696Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/a4042d5e-4ee8-4df7-8cc8-d81d2518717d/metcon-7-training-shoes-VZcBz4.png,https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/e8b1d646-53af-492c-964e-d726a29f6d63/metcon-7-training-shoes-VZcBz4.png",9
6,Nike Zoom Fly 4,Get after those long runs with the Nike ZoomX Invincible Run Flyknit.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/3dd4c47e-5edf-4bdc-aff4-edc396c3f83e/zoom-fly-4-road-running-shoes-4DCPzS.png","New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",985,14,2021-06-26T02:11:32.699Z,2,Hervis,Hervis,Laboriosam reprehenderit itaque ut qui ut sed voluptatem vel. Quam iure quisquam et inventore est aspernatur rerum qui.,https://www.hervis.hr/shop/assets/icons/hervis.svg,28674 Reynolds Stream,509.440.9422 x9300,2,Asia/Jakarta,2021-08-02T05:02:17.898Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/3dd4c47e-5edf-4bdc-aff4-edc396c3f83e/zoom-fly-4-road-running-shoes-4DCPzS.png,https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/bc410864-a5f9-4fe7-861c-b020aaabaea3/zoom-fly-4-road-running-shoes-4DCPzS.png",8
5,Nike Air Zoom Pegasus 38,Get after those long runs with the Nike ZoomX Invincible Run Flyknit.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/03741ea3-d06b-4d79-aa32-cd1829ace65a/air-zoom-pegasus-38-road-running-shoes-Rl7WJR.png",Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,856,3,2020-12-16T20:44:39.078Z,2,Hervis,Hervis,Laboriosam reprehenderit itaque ut qui ut sed voluptatem vel. Quam iure quisquam et inventore est aspernatur rerum qui.,https://www.hervis.hr/shop/assets/icons/hervis.svg,28674 Reynolds Stream,509.440.9422 x9300,2,Asia/Jakarta,2021-08-02T05:02:17.898Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/03741ea3-d06b-4d79-aa32-cd1829ace65a/air-zoom-pegasus-38-road-running-shoes-Rl7WJR.png,https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/03734348-3fcc-4a17-9080-161332584b35/air-zoom-pegasus-38-road-running-shoes-Rl7WJR.png",10
4,Nike Zoom Fly 4,We brought it back and it's better than ever. The Nike Ace Summerlite.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/d5bc11d4-65e7-4254-a896-ee239ee280f5/air-zoom-pegasus-38-shield-weatherised-road-running-shoes-TJhtkN.png","The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",764,6,2021-01-28T05:44:35.442Z,2,Hervis,Hervis,Laboriosam reprehenderit itaque ut qui ut sed voluptatem vel. Quam iure quisquam et inventore est aspernatur rerum qui.,https://www.hervis.hr/shop/assets/icons/hervis.svg,28674 Reynolds Stream,509.440.9422 x9300,2,Asia/Jakarta,2021-08-02T05:02:17.898Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/81b9ea73-9042-484d-a6d6-020f300ddbc2/air-zoom-pegasus-38-shield-weatherised-road-running-shoes-TJhtkN.png",8
1,Nike Air Zoom Alphafly NEXT,Get after those long runs with the Nike ZoomX Invincible Run Flyknit.,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e1a47258-2d88-43ec-af27-6929c10bb702/air-zoom-alphafly-next-road-racing-shoes-mGK8M0.png","The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",653,4,2021-09-17T13:51:56.496Z,1,intersport,intersport,Ab quas aut. Assumenda hic consequatur illo omnis in enim sed aperiam.,https://www.arenacentar.hr/wp-content/uploads/intersport.png,81965 Lowe Passage,575-941-2551 x64807,2,Etc/UTC,2021-04-28T19:16:43.134Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/cb039b42-644a-4553-8894-386f62c367c7/air-zoom-alphafly-next-road-racing-shoes-g2tqPZ.png,https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/c295f7e9-0b41-444b-907f-b98d975b7360/air-zoom-alphafly-next-road-racing-shoes-g2tqPZ.png",10
2,Nike Air Zoom Pegasus 38,Wet weather can't stop your daily running habit when you lace up your workhorse with wings.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/2ac4657d-4763-4998-a8ba-431b58cfb8b9/air-zoom-pegasus-38-road-running-shoes-6CWt8S.png",Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,1000,12,2021-07-27T12:53:43.581Z,1,intersport,intersport,Ab quas aut. Assumenda hic consequatur illo omnis in enim sed aperiam.,https://www.arenacentar.hr/wp-content/uploads/intersport.png,81965 Lowe Passage,575-941-2551 x64807,2,Etc/UTC,2021-04-28T19:16:43.134Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/2ac4657d-4763-4998-a8ba-431b58cfb8b9/air-zoom-pegasus-38-road-running-shoes-6CWt8S.png,https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/b78a87ae-b4b4-45b0-aff3-f2680172fb3c/air-zoom-pegasus-38-road-running-shoes-6CWt8S.png",9
3,Nike Air Zoom Pegasus 38,Wet weather can't stop your daily running habit when you lace up your workhorse with wings.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/19ace622-7e4a-4427-b606-79cc1aa1418e/air-zoom-pegasus-38-road-running-shoes-22XRPM.png","Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",876,23,2021-08-18T06:16:48.556Z,1,intersport,intersport,Ab quas aut. Assumenda hic consequatur illo omnis in enim sed aperiam.,https://www.arenacentar.hr/wp-content/uploads/intersport.png,81965 Lowe Passage,575-941-2551 x64807,2,Etc/UTC,2021-04-28T19:16:43.134Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/19ace622-7e4a-4427-b606-79cc1aa1418e/air-zoom-pegasus-38-road-running-shoes-22XRPM.png,https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/5de95c55-f744-4c5e-bee5-3369524b8e19/air-zoom-pegasus-38-road-running-shoes-22XRPM.png",7
13,Nike Air Zoom Pegasus 38,We brought it back and it's better than ever. The Nike Ace Summerlite.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/d564fb8c-db70-4ccc-a3b0-3bbca9ff9994/air-zoom-pegasus-38-road-running-shoes-r1t111.png",The Football Is Good For Training And Recreational Purposes,789,8,2021-10-23T19:39:59.089Z,5,nike shop,nike shop,Qui provident magni officia voluptatem quasi et autem consequatur error. Sed minus fuga harum.,https://www.arenacentar.hr/wp-content/uploads/2019/11/nike.png,54845 Kirlin Curve,1-579-659-8194 x351,6,Asia/Kabul,2021-04-08T08:06:08.931Z,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/d564fb8c-db70-4ccc-a3b0-3bbca9ff9994/air-zoom-pegasus-38-road-running-shoes-r1t111.png,https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,b_rgb:f5f5f5/e6c1e9f8-a506-47e3-8ccb-95d9c231a375/air-zoom-pegasus-38-road-running-shoes-r1t111.png",8
